Source,Title,OverrideAppId,OverrideBundleId,OverridePrice,OverrideDescription,IgnoreKey,Comments
,Blasphemous,,,,,,
,Bloodstained: Ritual of the Night,,,,,,
,"Haiku, the Robot",,,,,,
,Hollow Knight,,,,,,
,Lone Fungus,,,,,,
,Lost Ruins,,,,,,
,Rain World,,,,,,
,Bioshock Remastered,,,,,,
,Brutal Legend,,,,,,
,Dwarfs!?,,,,,,
,Euro Truck Simulator 2,,,,,,
,Into the Breach,,,,,,
,Portal Knights,,,,,,
,Saints Row: The Third,,,,,,
,Teleglitch: Die More Edition,,,,,,
,Titan Quest Anniversary,475150,,,,,
,Tooth and Tail,,,,,,
,Undertale,,,,,,
,Wargroove,,,,,,
,>observer_,1386900,,,,,
,10 Second Ninja,,,,,,
,1993 Space Machine,,,,,,
,2064: Read Only Memories,,,,,,
,60 Parsecs!,,,,,,
,7 Days to Die,,,,,,
,7 Grand Steps,,,,,,
,911 Operator,,,,,,
,911 Operator - Special Resources DLC,580730,,,,,
,A Virus Named TOM,,,,,,
,A Virus Named Tom,,,,,,
,A-Tech Cybernetic,,,,,,
,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,,,,,,
,Aaero,,,,,,
,Absolver,,,,,,
,ABZU,,,,,,
,Acceleration of SUGURI 2,,,,,,
,Action Henk,,,,,,
,AER Memories of Old,,,,,,
,AER Memories of Old,,,,,,
,Agricultural Simulator 2013,,,,,,
,Agricultural Simulator: Historical Farming,,,,,,
,AI War: Fleet Command,,,,,,
,Alien Breed Complete Pack,,7678,,,,
,Almost There: The Platformer,,,,,,
,American Truck Simulator,,,,,,
,Amnesia: Rebirth,,,,,,
,Anodyne,,,,,,
,Anomaly 2,,,,,,
,Anomaly Korea,,,,,,
,Another Perspective,,,,,,
,App Game Kit 2,325180,,,,,"""App Game Kit 2"" seems to be AppGameKit Classic (version 2), and many of the reviews on that page describe it as AGK2."
,Aquaria,,,,,,
,Archangel: Hellfire - Fully Loaded,933130,,,,,
,ARMA: Cold War Assault,,,,,,
,Armello,,,,,,
,Ashes of the Singularity: Escalation,,,,,,
,Avadon: The Black Fortress,,,,,,
,Avalanche 2: Super Avalanche,,,,,,
,Avernum 2: Crystal Souls,,,,,,
,Aveyond: Lord of Twilight,,,,,,
,Aviary Attorney,,,,,,
,Awesomenauts,,,,,,
,Awesomenauts Cluck Costume,230886,,,,,
,Axis Game Factory: AGFPRO Premium DLC,266590,,,,,
,Axis Game Factory: AGFPRO v3.0,253370,,,,,
,Axis Game Factory: AGFPRO Voxelsculpt,352111,,,,,
,Axis Game Factory: AGFPRO Zombie FPS,270940,,,,,
,Axis Game Factory: AGFPRO Zombie Survival Pack,361210,,,,,
,Axis Game Factory: Drone Kombat,337120,,,,,
,Bad Hotel,,,,,,
,Ballistick,,,,,,
,Banner Saga 2,,,,,,
,Bastion,107100,,,,,
,Battle Chef Brigade,,,,,,
,BATTLESLOTHS,,,,,,
,Bear With Me - Collector's Edition,809260,,,,,
,Beat Hazard Ultra,49604,,,,,
,Beat Hazard Ultra,49604,,,,,
,Beatbuddy: Tale of the Guardians,,,,,,
,Bejeweled™ 3,,,,,,
,Beyond Eyes,356050,,14.99,,,No longer listed for sale. Price from SteamDB.
,Biomutant,,,,,,
,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,,,,,,
,Black Mesa,,,,,,
,Black the Fall,,,,,,
,Blackwake,,,,,,
,BlazBlue: Chronophantasma Extend,,,,,,
,Bleed 2,,,,,,
,Borderlands 3,,,,,,
,Borderlands 3 Director's Cut DLC,1361831,,,,,
,"Botanicula, Machinarium, and Samorost 2",,,26.97,"Includes <a href=""https://store.steampowered.com/app/207690"">Botanicula</a>, <a href=""https://store.steampowered.com/app/40700"">Machinarium</a>, and <a href=""https://store.steampowered.com/app/40720"">Samorost 2</a>.",,"Combined price: Botanicula ($14.99), Machinarium ($6.99), and Samorost 2 ($4.99)."
